,classifier,classifier__C,classifier__penalty,classifier__solver,Accuracy,Precision,ROC AUC,F1,class_weight,criterion,max_features,n_estimators,n_jobs,Accuracy,Precision,ROC AUC,F1,classifier,classifier__criterion,classifier__min_samples_leaf,classifier__splitter,Accuracy,Precision,ROC AUC,F1
0,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-08,l1,saga,0.4492,0.1476,0.5,0.23691813804173356,balanced,gini,1.0,1024.0,-1.0,0.8363999999999999,0.7152579030008176,0.8921033620150525,0.626640882850104,DecisionTreeClassifier(class_weight='balanced'),gini,1.0,best,0.8131999999999999,0.6243115785524729,0.7430225787669018,0.614318875730664
1,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-07,l1,saga,0.5508,0.0984,0.5,0.1579454253611557,balanced,gini,2.0,1024.0,-1.0,0.8382,0.7164745114565158,0.893327726380712,0.632758112910584,DecisionTreeClassifier(class_weight='balanced'),gini,2.0,best,0.7938000000000001,0.5692721734699754,0.7662445278298936,0.6123014186413858
2,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-06,l1,saga,0.5508,0.0984,0.5,0.1579454253611557,balanced,gini,4.0,1024.0,-1.0,0.8398,0.7155136615576358,0.8964412024756852,0.6398961456941862,DecisionTreeClassifier(class_weight='balanced'),gini,4.0,best,0.7822000000000001,0.5416368262330526,0.8170726316016476,0.6282697586191806
3,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-05,l1,saga,0.4492,0.1476,0.5,0.23691813804173356,balanced,gini,6.0,1024.0,-1.0,0.8427999999999999,0.7213947436981288,0.8981561751957041,0.6477330562020245,DecisionTreeClassifier(class_weight='balanced'),gini,6.0,best,0.7816000000000001,0.5409075194682418,0.8390696771689203,0.6249471265410893
4,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.0001,l1,saga,0.3476,0.1968,0.5,0.3158908507223114,balanced,gini,8.0,1024.0,-1.0,0.8454,0.7291246684734565,0.9003315649867373,0.652792806027436,DecisionTreeClassifier(class_weight='balanced'),gini,8.0,best,0.7888000000000001,0.5502578602197115,0.854370188264217,0.6427076271428304
5,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.001,l1,saga,0.246,0.246,0.5,0.39486356340288925,balanced,gini,12.0,1024.0,-1.0,0.849,0.7353468046921835,0.902338746199133,0.6631437588447318,DecisionTreeClassifier(class_weight='balanced'),gini,10.0,best,0.7938,0.5569724887628112,0.8636647904940589,0.6540918585183194
6,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.01,l1,saga,0.7914,0.5489672887427515,0.8884777123633306,0.6684130191780273,balanced,gini,16.0,1024.0,-1.0,0.8503999999999999,0.7389260179623518,0.903148519548856,0.6660558494652753,DecisionTreeClassifier(class_weight='balanced'),gini,12.0,best,0.7918000000000001,0.5548431206949589,0.8639623902870328,0.652024478653245
7,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.1,l1,saga,0.8058,0.571628227554303,0.9003741562614567,0.681286899011883,balanced,gini,20.0,1024.0,-1.0,0.853,0.7449273117076676,0.9034941019171466,0.6724032712165195,DecisionTreeClassifier(class_weight='balanced'),gini,14.0,best,0.7926,0.5552081463073408,0.8697089775937549,0.6570931830569892
8,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1.0,l1,saga,0.8135999999999999,0.5846723749176616,0.9054840309676309,0.6885712402521599,balanced,entropy,1.0,1024.0,-1.0,0.8336,0.7069628954415509,0.8914537102930711,0.6203677714178772,DecisionTreeClassifier(class_weight='balanced'),gini,16.0,best,0.7926,0.5555555122024108,0.8717948717948717,0.6569331254727838
9,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10.0,l1,saga,0.8138,0.5853437824755734,0.9040165189450302,0.6884594875338029,balanced,entropy,2.0,1024.0,-1.0,0.8379999999999999,0.7163972982355336,0.8944933255698606,0.632178423880968,DecisionTreeClassifier(class_weight='balanced'),gini,18.0,best,0.7934,0.5574293092019348,0.8747751827650901,0.6559815398870175
