,classifier,classifier__C,classifier__penalty,classifier__solver,Accuracy,Precision,ROC AUC,F1,class_weight,criterion,max_features,n_estimators,n_jobs,Accuracy,Precision,ROC AUC,F1,classifier,classifier__criterion,classifier__min_samples_leaf,classifier__splitter,Accuracy,Precision,ROC AUC,F1
0,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-08,l1,saga,0.5004,0.1998,0.5,0.2664887702913053,balanced,gini,1.0,1024.0,-1.0,0.9276000000000002,0.9292990162004277,0.9851259516718066,0.9273677115502839,DecisionTreeClassifier(class_weight='balanced'),gini,1.0,best,0.882,0.8777325172305529,0.8820116240464962,0.882465356230696
1,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-07,l1,saga,0.5,0.1996,0.5,0.26631087391594394,balanced,gini,2.0,1024.0,-1.0,0.9344000000000001,0.9389022577241976,0.9873467593166373,0.9339612969096469,DecisionTreeClassifier(class_weight='balanced'),gini,2.0,best,0.8761999999999999,0.8582296743219772,0.8931984580338319,0.8790430851595866
2,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-06,l1,saga,0.49960000000000004,0.3994,0.5,0.5327996442072492,balanced,gini,4.0,1024.0,-1.0,0.9389999999999998,0.9387350611798639,0.9878187604910419,0.9389128098962821,DecisionTreeClassifier(class_weight='balanced'),gini,4.0,best,0.8632,0.8504955417490981,0.9131893254101016,0.8654275225393668
3,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-05,l1,saga,0.5008,0.1,0.5,0.13333333333333333,balanced,gini,6.0,1024.0,-1.0,0.9395999999999999,0.940597840560802,0.9873695588158352,0.9394297853821995,DecisionTreeClassifier(class_weight='balanced'),gini,6.0,best,0.8576,0.8476841226276897,0.9193337439029756,0.8593602899464254
4,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.0001,l1,saga,0.5,0.2996,0.5,0.3996442072492773,balanced,gini,8.0,1024.0,-1.0,0.9362,0.9380728861984299,0.9870307578814316,0.9359652987998086,DecisionTreeClassifier(class_weight='balanced'),gini,8.0,best,0.8528,0.8482537510914202,0.9253061641318565,0.8535059467067125
5,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.001,l1,saga,0.49960000000000004,0.2994,0.5,0.39946631087391593,balanced,gini,12.0,1024.0,-1.0,0.933,0.9348678424873565,0.9856635535982144,0.9327531818002331,DecisionTreeClassifier(class_weight='balanced'),gini,10.0,best,0.8562000000000001,0.851767207356897,0.927878171019884,0.856828878528677
6,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.01,l1,saga,0.702,0.6868332080600335,0.7835468992371969,0.7130613908217509,balanced,gini,16.0,1024.0,-1.0,0.9286000000000001,0.930812083444493,0.9831543448637795,0.9283016912162984,DecisionTreeClassifier(class_weight='balanced'),gini,12.0,best,0.8535999999999999,0.8499986219382544,0.9286897662342648,0.854212546967003
7,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.1,l1,saga,0.7230000000000001,0.7160304772515526,0.8095041817991271,0.7267764941162573,balanced,entropy,1.0,1024.0,-1.0,0.9282,0.9297350225821625,0.9852143528462113,0.9279894784466688,DecisionTreeClassifier(class_weight='balanced'),gini,14.0,best,0.8492000000000001,0.8502635346067142,0.928003368477474,0.8488151227174141
8,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1.0,l1,saga,0.7245999999999999,0.7156344061279295,0.810721785725543,0.7296330881219696,balanced,entropy,2.0,1024.0,-1.0,0.9342,0.9367304955009548,0.9874715597070389,0.9339006749988691,DecisionTreeClassifier(class_weight='balanced'),gini,16.0,best,0.8470000000000001,0.8458008080802222,0.9272541640454561,0.8471055575785993
9,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10.0,l1,saga,0.7252,0.7161287581760691,0.8107841860135441,0.7302745476581854,balanced,entropy,4.0,1024.0,-1.0,0.9393999999999998,0.9405869758951928,0.9880935614430459,0.9392271721705718,DecisionTreeClassifier(class_weight='balanced'),entropy,1.0,best,0.8844,0.8819729380880219,0.8844012320049279,0.8845785398413893
10,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",100.0,l1,saga,0.7248,0.7155886613907252,0.810790586023144,0.7299895594139507,balanced,entropy,6.0,1024.0,-1.0,0.9398000000000002,0.939921892921743,0.9879883610782443,0.9396912814287004,DecisionTreeClassifier(class_weight='balanced'),entropy,2.0,best,0.8814,0.8674219901236858,0.8951152661282645,0.8833940022505777
11,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1000.0,l1,saga,0.7248,0.7155886613907252,0.8107937860423441,0.7299895594139507,balanced,entropy,8.0,1024.0,-1.0,0.9374,0.9375176880648006,0.9875975594606379,0.9372886338773758,DecisionTreeClassifier(class_weight='balanced'),entropy,4.0,best,0.8712,0.8612631905239919,0.9151393293925174,0.8727349227262486
12,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10000.0,l1,saga,0.7248,0.7155886613907252,0.8107993860519442,0.7299895594139507,balanced,entropy,12.0,1024.0,-1.0,0.9357999999999999,0.935606208206746,0.986726356475026,0.935695340303212,DecisionTreeClassifier(class_weight='balanced'),entropy,6.0,best,0.8705999999999999,0.8623658085449559,0.9236873562374249,0.8718600163197714
