,classifier,classifier__C,classifier__penalty,classifier__solver,Accuracy,Precision,ROC AUC,F1,class_weight,criterion,max_features,n_estimators,n_jobs,Accuracy,Precision,ROC AUC,F1,classifier,classifier__criterion,classifier__min_samples_leaf,classifier__splitter,Accuracy,Precision,ROC AUC,F1
0,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-08,l1,saga,0.5758,0.048,0.5,0.0857142857142857,balanced,gini,1.0,1024.0,-1.0,0.8926000000000001,0.7484868421052632,0.8782987828956645,0.27215656113488224,DecisionTreeClassifier(class_weight='balanced'),gini,1.0,best,0.8618,0.4255003002772579,0.6765058434171063,0.4283963399201271
1,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-07,l1,saga,0.5761999999999999,0.0482,0.5,0.08603287880718745,balanced,gini,2.0,1024.0,-1.0,0.8956,0.747897793263647,0.8904356498392237,0.3189885206666088,DecisionTreeClassifier(class_weight='balanced'),gini,2.0,best,0.8457999999999999,0.3902860479705841,0.69916118376207,0.43690592393670274
2,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-06,l1,saga,0.42380000000000007,0.072,0.5,0.12857142857142856,balanced,gini,4.0,1024.0,-1.0,0.8950000000000001,0.7103898094242923,0.9053474138883404,0.33519107147142346,DecisionTreeClassifier(class_weight='balanced'),gini,4.0,best,0.8234,0.3708642285618533,0.7736321212238739,0.47841892834004307
3,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-05,l1,saga,0.7282,0.0242,0.5,0.043175735950044605,balanced,gini,6.0,1024.0,-1.0,0.8942,0.6616980906576989,0.9112185816433025,0.3624719811311251,DecisionTreeClassifier(class_weight='balanced'),gini,6.0,best,0.8064,0.35398196304284374,0.8093848913232542,0.47799722312686227
4,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.0001,l1,saga,0.42380000000000007,0.072,0.5,0.12857142857142856,balanced,gini,8.0,1024.0,-1.0,0.8958,0.6563263531940347,0.913584652862005,0.39837448310849516,DecisionTreeClassifier(class_weight='balanced'),gini,8.0,best,0.8034000000000001,0.3544725302731988,0.8266179378331877,0.48342999560991046
5,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.001,l1,saga,0.8630000000000001,0.45643999010560227,0.8602011210264294,0.5323687295745659,balanced,gini,12.0,1024.0,-1.0,0.8936,0.6158581301739197,0.9153235765779106,0.4160746230371683,DecisionTreeClassifier(class_weight='balanced'),gini,10.0,best,0.8150000000000001,0.36686044114615546,0.8338763286369748,0.4903544036363776
6,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.01,l1,saga,0.8474,0.4192068645486559,0.8746382029259395,0.5245611689371701,balanced,gini,16.0,1024.0,-1.0,0.8924,0.5920171537657877,0.9137915958569562,0.43561811037412584,DecisionTreeClassifier(class_weight='balanced'),gini,12.0,best,0.807,0.3605896559305628,0.848627555319719,0.49177270425063674
7,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.1,l1,saga,0.8540000000000001,0.44197435186028483,0.9116711426630563,0.5708629464903613,balanced,gini,20.0,1024.0,-1.0,0.893,0.590323430654313,0.9135717519791461,0.45007191117546974,DecisionTreeClassifier(class_weight='balanced'),gini,14.0,best,0.8086,0.36429252937289547,0.8532338148393649,0.4980189113202164
8,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1.0,l1,saga,0.8502000000000001,0.43440388735843277,0.9099253036884513,0.564078295877116,balanced,entropy,1.0,1024.0,-1.0,0.8930000000000001,0.7624391590970907,0.8776589269596368,0.2709958283004507,DecisionTreeClassifier(class_weight='balanced'),gini,16.0,best,0.8078,0.36503155373345497,0.8593764129622317,0.5000903924771268
9,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10.0,l1,saga,0.85,0.4344609053497942,0.9094905761383615,0.565326791867652,balanced,entropy,2.0,1024.0,-1.0,0.8946,0.7324068088773971,0.8918603629570605,0.31204108404582726,DecisionTreeClassifier(class_weight='balanced'),gini,18.0,best,0.7962,0.3516334942184139,0.8599087471441063,0.48910314779160524
