,classifier,classifier__C,classifier__penalty,classifier__solver,Accuracy,Precision,ROC AUC,F1,class_weight,criterion,max_features,n_estimators,n_jobs,Accuracy,Precision,ROC AUC,F1,classifier,classifier__criterion,classifier__min_samples_leaf,classifier__splitter,Accuracy,Precision,ROC AUC,F1
0,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-08,l1,saga,0.6524,0.0494,0.5,0.07923015236567763,balanced,gini,1.0,1024.0,-1.0,0.9452,0.9022039591369045,0.9724000450043029,0.8874132929904773,DecisionTreeClassifier(class_weight='balanced'),gini,1.0,best,0.9418000000000001,0.8744593329167737,0.9257613744154194,0.8834586282367501
1,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-07,l1,saga,0.5511999999999999,0.0988,0.5,0.15846030473135525,balanced,gini,2.0,1024.0,-1.0,0.9470000000000001,0.9063472423000951,0.9737347867818504,0.891035443692612,DecisionTreeClassifier(class_weight='balanced'),gini,2.0,best,0.932,0.8162417315957249,0.9499769111249444,0.8714389805788608
2,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-06,l1,saga,0.5508,0.0986,0.5,0.15820286504625547,balanced,gini,4.0,1024.0,-1.0,0.9527999999999999,0.9141373503020803,0.9753570316186699,0.9034772326333409,DecisionTreeClassifier(class_weight='balanced'),gini,4.0,best,0.9258000000000001,0.7984580814935273,0.9608964570072729,0.8612816266450862
3,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-05,l1,saga,0.5508,0.0986,0.5,0.15820286504625547,balanced,gini,6.0,1024.0,-1.0,0.9548,0.9195615540641736,0.9760390485537614,0.9073759309991001,DecisionTreeClassifier(class_weight='balanced'),gini,6.0,best,0.9298,0.8157837905609748,0.9648084965260466,0.8674791183129811
4,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.0001,l1,saga,0.7536,0.0,0.5,0.0,balanced,gini,8.0,1024.0,-1.0,0.9566000000000001,0.9202844798533757,0.9766620891370531,0.9113020864596416,DecisionTreeClassifier(class_weight='balanced'),gini,8.0,best,0.9262,0.8066414747720149,0.9676392667905347,0.8616879436032384
5,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.001,l1,saga,0.44959999999999994,0.148,0.5,0.2374330174119331,balanced,gini,12.0,1024.0,-1.0,0.958,0.922592975607073,0.9760589480941043,0.9142167183525534,DecisionTreeClassifier(class_weight='balanced'),gini,10.0,best,0.9282,0.8145615869764231,0.9672965598202458,0.8633054792147578
6,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.01,l1,saga,0.6536000000000001,0.3951667026764033,0.7120599590268389,0.5212017579370357,balanced,gini,16.0,1024.0,-1.0,0.9551999999999999,0.9128382997423019,0.9751385217193491,0.9089113038935122,DecisionTreeClassifier(class_weight='balanced'),gini,12.0,best,0.9277999999999998,0.813072838551113,0.9666683542601942,0.8624940572455497
7,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.1,l1,saga,0.6296,0.3702227611746379,0.7240571751396365,0.4881359031391755,balanced,entropy,1.0,1024.0,-1.0,0.945,0.9027892948824263,0.9725885200799143,0.886827352908556,DecisionTreeClassifier(class_weight='balanced'),gini,14.0,best,0.9277999999999998,0.8130994147141786,0.9672576089452297,0.8624869820624259
8,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1.0,l1,saga,0.6314,0.3723580837591299,0.7212517663716321,0.49130997137388893,balanced,entropy,2.0,1024.0,-1.0,0.9468,0.9047178344755109,0.9740276118427627,0.8907829911729543,DecisionTreeClassifier(class_weight='balanced'),gini,16.0,best,0.9308,0.8212019200619883,0.9665482763508922,0.8677386833557144
9,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10.0,l1,saga,0.6332,0.37339164028055355,0.7206409101955198,0.49166431977707364,balanced,entropy,4.0,1024.0,-1.0,0.9523999999999999,0.9126704592096964,0.9760761233827845,0.9027713907580068,DecisionTreeClassifier(class_weight='balanced'),gini,18.0,best,0.9314,0.8240027564161618,0.9659018419997434,0.8687421000279543
10,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",100.0,l1,saga,0.6332000000000001,0.3733829094424748,0.7206268869354255,0.4916548122369697,balanced,entropy,6.0,1024.0,-1.0,0.9559999999999998,0.9212724841242572,0.9770506966616248,0.9099263684889459,DecisionTreeClassifier(class_weight='balanced'),entropy,1.0,best,0.9390000000000001,0.8696354426551924,0.9221762678189946,0.877627435699344
11,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1000.0,l1,saga,0.6332000000000001,0.3733829094424748,0.7206064499607561,0.4916548122369697,balanced,entropy,8.0,1024.0,-1.0,0.9578,0.9220376590436302,0.9772578844905446,0.9137521784970906,DecisionTreeClassifier(class_weight='balanced'),entropy,2.0,best,0.9352,0.8326387535850334,0.9462934489595364,0.8755913223588246
12,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10000.0,l1,saga,0.6332000000000001,0.3733829094424748,0.7206161454840194,0.4916548122369697,balanced,entropy,12.0,1024.0,-1.0,0.9582,0.9216111592145427,0.9766369450335459,0.9147615507302067,DecisionTreeClassifier(class_weight='balanced'),entropy,4.0,best,0.9238,0.7915011624847064,0.9593662890052119,0.8584942225009051
13,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",,none,sag,0.6330000000000001,0.3732346677295374,0.7206021369202781,0.4915260258014581,balanced,entropy,16.0,1024.0,-1.0,0.9566000000000001,0.9156645005125063,0.9757934876425987,0.9118297062096904,DecisionTreeClassifier(class_weight='balanced'),entropy,6.0,best,0.9258,0.809005277839054,0.9632374188512038,0.8595254333210003
